목적지명,목적지X좌표,목적지Y좌표,목적지읍면동명,중분류,소분류,방문건수,방문건수구간
다락방,127.1363681,36.47214502,신관동,음식점,한식,3,1
다래모텔,127.1217584,36.46225717,웅진동,숙박,모텔/여관,3,1
다래원/[한식],127.1128828,36.4590034,웅진동,음식점,한식,3,1
다복수육국밥/공주신관점,127.1416059,36.47327141,신관동,음식점,한식,12,3
다솜차반소서노/[한식],127.1533666,36.46839554,월송동,음식점,한식,26,4
다이소/공주신관점,127.1327733,36.47148814,신관동,생활용품,다이소,845,5
다이소/공주점,127.1245915,36.45695224,웅진동,생활용품,다이소,66,5
달비채카페,127.1576439,36.48122744,월송동,카페,카페기타,3,1
담양골갈비나라,127.2100008,36.43395536,반포면,음식점,한식,3,1
대광고물상,127.1225917,36.46220163,웅진동,업종별기업,업종별기업기타,3,1
대구왕뽈때기,127.133785,36.47120067,신관동,음식점,한식,4,2
대길환경,127.0468211,36.40895726,이인면,업종별기업,업종별기업기타,62,5
대나무집,127.006851,36.5704386,사곡면,음식점,한식,3,1
대동/충남지역본부,127.2460812,36.40126485,반포면,산업시설,산업시설기타,3,1
대박칼국수,127.1323407,36.46922866,신관동,음식점,한식,3,1
대백제전/(공주),127.129984,36.46819792,신관동,관광명소,축제,7212,5
대복상회/동학사점,127.2530803,36.3630086,반포면,음식점,한식,22,4
대성농원,127.0669863,36.373267,이인면,농/어업,농장/농원,3,1
대신윤활유고압호스,127.1321633,36.4712039,신관동,업종별기업,전기가스업,3,1
대신택배/공주금성영업소,127.1228416,36.46231273,웅진동,생활서비스,택배,41,4
대신택배/세종장군영업소,127.169004,36.48453268,월송동,생활서비스,택배,10,3
대양건기,127.167782,36.47528373,월송동,업종별기업,기계,6,2
대왕산삼백숙농원/총본점,127.2597009,36.36892874,반포면,음식점,한식,21,4
대운철강,127.116481,36.47694991,신관동,업종별기업,철강 금속,12,3
대전교육연수원,127.2306104,36.39321012,반포면,교육기관,연수원,160,5
대전별장펜션,127.259969,36.3855445,반포면,숙박,펜션,13,3
대하촌,127.1571998,36.45145306,옥룡동,음식점,전문음식점,12,3
대학로공영주차장,127.1383957,36.47153399,신관동,자동차시설,주차장,80,5
대한사료,127.1320074,36.46986747,신관동,쇼핑기타,농업용품관련,4,2
더덕순대1999,127.1350265,36.47220536,신관동,음식점,한식,9,3
더벨리,127.0219452,36.54863634,사곡면,카페,카페기타,7,3
더보양흑삼삼계탕/공주점,127.1222506,36.46467475,웅진동,음식점,한식,3,1
더쉼펜션,127.2412765,36.35979732,반포면,숙박,펜션,45,4
더자자모텔,127.1291743,36.4702563,신관동,숙박,모텔/여관,10,3
더존펜션,127.2362769,36.35846411,반포면,숙박,펜션,26,4
더크루즈,127.2465214,36.35941816,반포면,카페,카페기타,433,5
더한식품,127.253775,36.39693206,반포면,업종별기업,음식료업,4,2
덕산일렉테라,127.0768923,36.42264293,이인면,업종별기업,제조업,53,4
덕산테코피아/공주사업장,127.079207,36.42545557,금학동,업종별기업,반도체,7,3
덕조사,127.0411532,36.60079644,사곡면,종교,절,3,1
덕지기업,127.0466831,36.30583012,탄천면,업종별기업,업종별기업기타,3,1
덮밥장사장/공주대점,127.137919,36.47197443,신관동,음식점,일식,3,1
도깨비아구찜,127.1328533,36.47186888,신관동,음식점,한식,3,1
도덕봉가든,127.250109,36.3601029,반포면,음식점,전문음식점,55,5
도덕침례교회,127.167531,36.58204932,의당면,종교,교회시설,3,1
도레이첨단소재/유구공장,126.9649471,36.55138857,유구읍,업종별기업,화학,3,1
도미노피자/공주점,127.1318963,36.47072849,신관동,음식점,패스트푸드,25,4
도미노피자/공주점,127.1318963,36.47072849,신관동,음식점,패스트푸드,25,4
도야족발/공주점,127.1383957,36.47800547,월송동,음식점,전문음식점,6,2
도연정,126.9699378,36.55296816,유구읍,음식점,한식,19,4
도화담,127.1692762,36.45769991,월송동,음식점,한식,3,1
돈금정,127.2534143,36.35757543,반포면,음식점,한식,70,5
동경홈마트,127.1398956,36.47367264,신관동,슈퍼/마트,슈퍼/마트 기타,13,3
동곡리노인회관,127.101482,36.50466888,우성면,사회시설,회관,3,1
동곡요양원,127.2644684,36.41331914,반포면,사회시설,사회복지시설,3,1
동네분식,127.1335351,36.4689787,신관동,음식점,분식,6,2
동녘,127.2549137,36.40379239,반포면,음식점,전문음식점,19,4
동림레미콘,126.9841869,36.5140838,신풍면,업종별기업,제조업,3,1
동림아스콘앤레미콘,127.0729575,36.42553885,이인면,업종별기업,제조업,4,2
동명파크,127.1325907,36.46839542,신관동,숙박,모텔/여관,9,3
동신원/[중식],127.0634439,36.36256218,이인면,음식점,중식,73,5
동아리동태찜탕,127.134035,36.47081182,신관동,음식점,한식,9,3
동아전기부품,127.1174801,36.56727294,정안면,업종별기업,업종별기업기타,3,1
동원2리마을회관,126.9704103,36.51602794,신풍면,사회시설,회관,4,2
동원레미콘/세종공장,127.2601632,36.40926402,반포면,업종별기업,건설업,131,5
동원시스템즈/공주공장,127.1230904,36.60107466,정안면,업종별기업,제조업,3,1
동원시스템즈/공주수지공장,127.1268398,36.62185009,정안면,업종별기업,제조업,10,3
동월계곡펜션,127.2597472,36.33763329,반포면,숙박,펜션,3,1
동자굿당,127.1770879,36.34171568,계룡면,종교,절,3,1
동학사,127.2200562,36.35335349,반포면,종교,절,5659,5
동학사1로부대찌개,127.2555192,36.36563686,반포면,음식점,전문음식점,8,3
동학사계곡,127.2320008,36.35655671,반포면,관광명소,폭포/계곡,19,4
동학사농원,127.2478314,36.35851973,반포면,음식점,한식,23,4
동학사벚꽃길,127.2556068,36.36469013,반포면,놀거리,기타,3,1
동학사베이커리,127.2380823,36.35832525,반포면,음식점,제과점,3,1
동학사약국,127.2523437,36.361712,반포면,기타의료시설,약국,6,2
동학사짬뽕/[중식],127.2539367,36.36277509,반포면,음식점,중식,16,4
동학사초가집,127.2580129,36.36399424,반포면,음식점,한식,773,5
동학사풍천장어,127.2586754,36.38247912,반포면,음식점,전문음식점,12,3
동학산장,127.2382767,36.35938069,반포면,숙박,호텔,21,4
동해기계,126.9361633,36.52161044,신풍면,업종별기업,기계,18,4
동해동펜션,127.0218493,36.60676787,유구읍,숙박,펜션,3,1
동해원/[중식],127.1479228,36.45028647,옥룡동,음식점,중식,751,5
동행복권판매점/복권방,127.1331184,36.47183948,신관동,취미/오락,복권,29,4
동행복권판매점/복권방,127.1373958,36.47342266,신관동,취미/오락,복권,3,1
동행복권판매점/슈비엔기능성슈즈,127.1241193,36.45645229,중학동,취미/오락,복권,3,1
동행복권판매점/씨스페이스공주신관점,127.1295354,36.4702563,신관동,취미/오락,복권,3,1
동행복권판매점/아찌라,127.1242304,36.45959082,웅진동,취미/오락,복권,3,1
동행한의원,127.1528386,36.47578507,월송동,의료시설,한의원,13,3
두끼/공주점,127.1408955,36.47345045,신관동,음식점,분식,13,3
두만리마을회관,127.1398116,36.54946955,의당면,사회시설,회관,3,1
두부두부,127.0191834,36.5564125,사곡면,음식점,한식,13,3
들마루,127.1214237,36.61365655,정안면,음식점,전문음식점,19,4
등나무펜션,127.2437207,36.35974179,반포면,숙박,펜션,3,1
등산로식당,127.2139265,36.38341824,반포면,음식점,한식,3,1
디아이지에어가스/공주특수가스공장,127.0722631,36.43273247,금학동,업종별기업,전기가스업,35,4
디어마이아지,127.1296186,36.48805983,신관동,카페,이색카페,7,3
뚜레쥬르/공주신관제일점,127.1358126,36.47342265,신관동,음식점,제과점,10,3
뚜레쥬르/공주신월점,127.1475598,36.47400479,신관동,음식점,제과점,3,1
뚜레쥬르/공주신월점,127.1475598,36.47400479,월송동,음식점,제과점,6,2
뚜레쥬르/공주중앙점,127.1244527,36.45573015,중학동,음식점,제과점,3,1
뚱땡이감자탕,127.1351617,36.44961596,옥룡동,음식점,한식,6,2
뚱보아저씨수제돈가스/공주점,127.1500996,36.47735306,월송동,음식점,전문음식점,6,2
라라코스트/공주점,127.1378402,36.47375595,신관동,음식점,패밀리레스토랑,28,4
라루체,127.2526286,36.35977596,반포면,음식점,전문음식점,109,5
라미그린텍,127.1581715,36.49539249,의당면,건축자재,건축자재기타,104,5
라온요양병원,127.0483435,36.47613808,우성면,의료시설,요양병원,65,5
라임의원,127.1420343,36.4741726,신관동,의료시설,의원,16,4
라임휴로즈마리펜션,127.2655798,36.36290822,반포면,숙박,펜션,9,3
라임휴펜션,127.2658298,36.36299155,반포면,숙박,펜션,13,3
라피스라줄리,127.1561718,36.48164405,월송동,카페,카페기타,7,3
러스틱하우스틈,127.119737,36.45037336,중학동,숙박,게스트하우스,6,2
레드&블루펜션,127.25122,36.36174161,반포면,숙박,펜션,3,1
레퓨지앤스트랭스,127.1221517,36.44969064,중학동,카페,카페기타,19,4
로뎀나무펜션,127.2483405,36.3613454,반포면,숙박,펜션,39,4
로뎀주간보호센터,127.1225362,36.45056407,중학동,사회시설,사회복지시설,6,2
로베펜션,127.2643021,36.36663002,반포면,숙박,펜션,9,3
로보카폴리안전체험공원,127.0990657,36.49442004,신관동,관광명소,관광명소기타,279,5
로젠택배/공주지점,127.1360848,36.49558412,의당면,생활서비스,택배,3,1
로즈하우스펜션,127.2473037,36.36090834,반포면,숙박,펜션,10,3
로즈하우스펜션,127.2473315,36.36079401,반포면,숙박,펜션,18,4
로컬커피,127.1182846,36.45865859,웅진동,카페,카페기타,76,5
로컬파스타,127.1180071,36.45923332,웅진동,음식점,전문음식점,60,5
로컬하우스,127.1180643,36.45866829,웅진동,숙박,숙박기타,6,2
롤링핀/공주점,127.141201,36.47411704,신관동,음식점,제과점,3,1
롯데리아/공주신관점,127.1408298,36.47305191,신관동,음식점,패스트푸드,268,5
롯데리아/공주점,127.1246193,36.45370261,중학동,음식점,패스트푸드,7,3
롯데리아/공주점,127.1246193,36.45370261,중학동,음식점,패스트푸드,3,1
롯데하이마트/공주점,127.1337572,36.47256162,신관동,대형유통점,전자제품판매,72,5
롱디커피,127.197157,36.44414437,월송동,카페,카페기타,282,5
루나무인텔,127.2489979,36.36649105,반포면,숙박,모텔/여관,3,1
루치아의뜰,127.1237814,36.45378955,중학동,카페,카페기타,50,4
류계저수지,127.164754,36.5274722,의당면,관광명소,저수지,3,1
르코티,127.1235113,36.45257472,중학동,카페,카페기타,3,1
리제나호텔,127.1310908,36.47000634,신관동,숙박,모텔/여관,123,5
마곡모텔,127.0181557,36.55707908,사곡면,숙박,모텔/여관,4,2
마곡사,127.0122951,36.55899549,사곡면,종교,절,5987,5
마곡사계곡,127.0152948,36.5594399,사곡면,관광명소,폭포/계곡,4,2
마곡사미식정순두부/[한식],127.0195549,36.55655334,사곡면,음식점,한식,51,4
마곡사불교회관,127.1281744,36.47195055,신관동,종교,종교기타,3,1
마곡사서울식당/[한식],127.0196833,36.55616253,사곡면,음식점,한식,20,4
마곡사힐링펜션캠핑,127.0377094,36.56132871,사곡면,숙박,펜션,14,3
마루호텔,127.1302038,36.47089134,신관동,숙박,모텔/여관,134,5
마세오른,127.2328324,36.403209,반포면,음식점,한식,263,5
마스터플랜스터디카페/공주중동점,127.1243313,36.45474645,중학동,문화생활시설,스터디카페,5,2
마암길희스밀,127.2006548,36.42630049,반포면,음식점,전문음식점,6,2
마음이편한정신과의원,127.1187033,36.44073183,금학동,의료시설,의원,3,1
마이애미/[한식],127.1280357,36.45595237,중학동,음식점,한식,4,2
마치고,127.1226421,36.44911334,중학동,술집,일본선술집,3,1
마티석갈비,127.2598858,36.36929635,반포면,음식점,한식,3,1
만복생고기,127.1341006,36.47084025,신관동,음식점,한식,9,3
만복식당,127.1191199,36.44184282,금학동,음식점,한식,3,1
말재농원,127.223815,36.4109414,반포면,농/어업,농장/농원,358,5
맑은마음병원,127.1265079,36.47147837,신관동,의료시설,의원,25,4
맑은물공원,127.1307269,36.4848635,신관동,관광명소,공원,3,1
맘스터치/공주대신관점,127.1402011,36.47370042,신관동,음식점,패스트푸드,9,3
맘스터치/공주터미널점,127.1344239,36.46936755,신관동,음식점,패스트푸드,3,1
맛나해장국감자탕,127.1313408,36.46986747,신관동,음식점,한식,6,2
맛좋은세상/[한식],127.0144889,36.60962861,유구읍,음식점,한식,18,4
망중한커피앤티,127.1212045,36.45171258,중학동,카페,카페기타,68,5
매향,127.1216159,36.46558509,웅진동,음식점,한식,541,5
맥주깡패,127.1088985,36.45636888,웅진동,술집,술집기타,3,1
먹보,127.1344794,36.47203391,신관동,음식점,한식,5,2
먹보부대찌개,127.1162109,36.45594737,중학동,음식점,전문음식점,3,1
메가박스/공주,127.1388957,36.47356154,신관동,문화생활시설,극장,243,5
메가커피/공주대점,127.1375675,36.47230335,신관동,카페,커피전문점,133,5
메가커피/공주중동점,127.1245082,36.45678559,웅진동,카페,커피전문점,63,5
메리봉봉/공산성점,127.1225937,36.46468362,웅진동,카페,카페기타,9,3
메밀정원,127.2182224,36.42323441,반포면,음식점,한식,47,4
메밀촌,127.1701147,36.51727895,의당면,음식점,일식,3,1
메타세콰이어길,127.1351458,36.49311484,의당면,관광명소,관광명소기타,783,5
명가목재,127.1348127,36.47181171,신관동,건축자재,건축자재기타,3,1
명곡낚시터,126.9391624,36.59912937,유구읍,레저/스포츠,낚시,10,3
명곡리마을회관,126.9487448,36.6026568,유구읍,사회시설,회관,6,2
명도철물건재,127.124036,36.46070181,웅진동,생활서비스,철물점,7,3
명동칼국수샤브샤브/신관동점,127.136757,36.47342265,신관동,음식점,전문음식점,14,3
명륜등심해장국,127.1368403,36.47281161,신관동,음식점,한식,6,2
명륜진사갈비/충남공주점,127.135646,36.47295048,신관동,음식점,한식,32,4
명성모텔,127.1415075,36.36824023,계룡면,숙박,모텔/여관,3,1
명성불고기,126.9509395,36.55427346,유구읍,음식점,한식,4,2
명성불고기,127.1250523,36.4581691,웅진동,음식점,한식,207,5
명신종합건재,127.1172439,36.48079139,신관동,건축자재,건축자재기타,10,3
명신철물마트,127.1177308,36.48039397,신관동,생활서비스,철물점,36,4
명인족발,127.1400069,36.47785388,월송동,음식점,전문음식점,11,3
명작무인텔,127.249109,36.36607443,반포면,숙박,모텔/여관,3,1
명주원,127.2641378,36.41242543,반포면,사회시설,사회복지시설,6,2
명탄서원,127.1564498,36.45853558,월송동,관광명소,문화유적지,6,2
모던스토리/대전세종가구단지점,127.1977768,36.44422125,월송동,가구,가구기타,3,1
모두와펜션,127.2506923,36.35871417,반포면,숙박,펜션,7,3
모든피씨산업,127.045572,36.31682886,탄천면,업종별기업,제조업,6,2
모란반점/[중식],127.1221318,36.53463556,정안면,음식점,중식,3,1
모리의숲,126.9851583,36.59165827,유구읍,숙박,펜션,6,2
모아자원,127.1161188,36.59493644,정안면,중고품,중고품기타,11,3
모을식당,127.12638,36.45653074,웅진동,음식점,한식,7,3
모텔산,127.13068,36.46956993,신관동,숙박,모텔/여관,30,4
목구멍/공주점,127.1367847,36.47314491,신관동,음식점,한식,11,3
목동교회,127.094456,36.37571133,이인면,종교,교회시설,6,2
목천2리경로당,127.1152585,36.51700089,우성면,사회시설,사회복지시설,3,1
목천감리교회,127.1130643,36.50672427,우성면,종교,교회시설,3,1
목향커피,127.1393121,36.49803097,의당면,카페,카페기타,23,4
목화밀면&양꼬치/공주직영점,127.1399233,36.47542244,신관동,음식점,한식,13,3
뫼뜰펜션,127.2554696,36.36174163,반포면,숙박,펜션,3,1
무궁화회관,127.1217509,36.45202758,중학동,음식점,한식,17,4
무령왕릉,127.1138424,36.46225713,웅진동,관광명소,능묘,1864,5
무릉관광펜션,127.1657268,36.4537584,월송동,숙박,펜션,9,3
무모한초밥/공주신관점,127.140221,36.47325703,신관동,음식점,일식,6,2
무인호텔J2,127.2412894,36.35841851,반포면,숙박,모텔/여관,14,3
무조건회센터,127.1323129,36.47097846,신관동,음식료,농수축산물점,10,3
무조건회수산,127.1308409,36.46931198,신관동,음식점,전문음식점,4,2
무지개펜션,127.0227781,36.52709809,사곡면,숙박,펜션,4,2
묵이랑국수랑,127.1231693,36.45608826,중학동,음식점,한식,4,2
문천보건진료소,127.0655119,36.63059873,정안면,의료시설,보건소/지소,3,1
물고기의꿈,127.139194,36.47821941,월송동,음식점,전문음식점,4,2
뮤모텔,127.1436625,36.4625104,신관동,숙박,모텔/여관,81,5
미강펜션,127.2526365,36.36335254,반포면,숙박,펜션,6,2
미락,126.9515228,36.54991285,유구읍,음식점,한식,6,2
미락/신관점,127.1391158,36.47401957,신관동,음식점,한식,3,1
미르섬,127.1277023,36.46720109,신관동,관광명소,섬,1712,5
미세스피베리,127.137118,36.47364485,신관동,카페,커피전문점,52,4
미소담치과의원,127.1250637,36.45639675,중학동,의료시설,의원,9,3
미앤맘산부인과의원,127.1411732,36.47408927,신관동,의료시설,의원,29,4
미원화학/탄천공장,127.0584515,36.29971011,탄천면,산업시설,공장,80,5
민갤러리,127.124842,36.45400428,중학동,문화생활시설,전시장,9,3
민경이네낚지쭈꾸미,127.1358074,36.47297095,신관동,음식점,전문음식점,3,1
민방위대피소/공주월송 흥화하브아파트(지하2층 주차장),127.1510612,36.47847771,월송동,구호/대피소,대피소,3,1
밀목재카페&브런치,127.248319,36.34038457,반포면,음식점,전문음식점,7,3
밀물떼,127.2520255,36.36354696,반포면,숙박,펜션,3,1
바다향굴&복어,127.144784,36.4750614,신관동,음식점,한식,3,1
바디앤솔필라테스/신관점,127.1400067,36.47411704,신관동,레저/스포츠,필라테스,10,3
바디피티/공주점,127.1528388,36.47581136,월송동,레저/스포츠,헬스,57,5
바른정형외과의원,127.1337295,36.46920089,신관동,의료시설,의원,40,4
바른찬,127.1360378,36.47399149,신관동,음식료,반찬가게,22,4
바베큐7892,127.265706,36.36618416,반포면,음식점,한식,26,4
바보아저씨,127.134285,36.4723672,신관동,음식점,전문음식점,48,4
바운스캠프/공주점,127.0829566,36.42801085,금학동,레저/스포츠,캠프장,22,4
바이언드컴퍼니,127.112786,36.57313335,정안면,업종별기업,음식료업,6,2
바이콩즈,127.2561362,36.36549121,반포면,카페,카페기타,302,5
바인밸리,127.0997875,36.53760956,정안면,레저/스포츠,캠프장,53,4
바티안,127.1525616,36.41967887,옥룡동,카페,카페기타,3,1
박동진판소리전수관,127.171254,36.45792462,월송동,문화생활시설,박물관/기념관,17,4
박진숙심리상담센터/공주점,127.1522556,36.47514477,월송동,의료시설,전문클리닉,9,3
박찬호기념관,127.1267024,36.45903535,웅진동,문화생활시설,박물관/기념관,57,5
반촌리마을회관,127.1062316,36.50816851,우성면,사회시설,회관,3,1
반포가든,127.2574414,36.38671102,반포면,음식점,한식,12,3
반포시골집,127.2518584,36.40601435,반포면,음식점,한식,30,4
반포어죽,127.2530529,36.39607104,반포면,음식점,한식,24,4
발리모텔/휴업중,127.2533864,36.36710212,반포면,숙박,모텔/여관,17,4
밤골농장식당,127.1247842,36.6464306,정안면,음식점,한식,24,4
밥꽃하나피었네/[한식],127.1774178,36.3325113,계룡면,음식점,한식,28,4
방일해장국/공주점,127.1315513,36.4700613,신관동,음식점,한식,18,4
방일해장국/옥룡점,127.1218139,36.46500686,웅진동,음식점,한식,26,4
배꼽/[한식],127.1330906,36.4720339,신관동,음식점,한식,53,4
배꼽부엉이,127.1286744,36.47122841,신관동,음식점,한식,3,1
배스킨라빈스/공주신관점,127.1378687,36.47372696,신관동,음식점,패스트푸드,18,4
배스킨라빈스/공주중동점,127.124286,36.4543692,중학동,음식점,패스트푸드,18,4
배이비인후과의원,127.1258692,36.45620233,중학동,의료시설,의원,32,4
백년추어탕,127.158769,36.4772495,월송동,음식점,한식,79,5
백제나루영농조합법인,127.1357847,36.49067068,의당면,업종별기업,음식료업,12,3
백제안과의원,127.1387471,36.474009,신관동,의료시설,의원,20,4
백제오감체험관,127.1114815,36.46236821,웅진동,문화생활시설,전시장,72,5
백제정신과의원,127.1258611,36.45618631,중학동,의료시설,의원,3,1
백제짬뽕/[중식],127.2180835,36.42406764,반포면,음식점,중식,3,1
백제체육관,127.1068153,36.46264593,웅진동,레저/스포츠,운동장/체육관,227,5
백제한의원,127.1462561,36.47461702,신관동,의료시설,한의원,6,2
버킹검모텔,127.1331462,36.46958974,신관동,숙박,모텔/여관,63,5
법성사,127.2492757,36.36388024,반포면,종교,절,3,1
베리베리팜,127.1225912,36.51275142,우성면,업종별기업,음식료업,3,1
베스트필드,127.2575527,36.36585229,반포면,레저/스포츠,캠프장,65,5
베시두즈,127.2592973,36.4067245,반포면,숙박,펜션,3,1
베이커리밤마을,127.1229855,36.46475179,웅진동,음식점,제과점,1000,5
벼슬한우,127.1500573,36.3252393,계룡면,음식점,한식,6,2
별천지가든,127.1349681,36.46787216,신관동,음식점,한식,7,3
별하글램핑,126.9854362,36.57899305,유구읍,레저/스포츠,캠프장,6,2
병사골탐방지원센터,127.257636,36.37146276,반포면,관광명소,명산,3,1
보광암,127.1894757,36.33807727,계룡면,종교,절,6,2
보림정사,127.1206747,36.51511225,우성면,종교,절,3,1
보물리교회,127.127479,36.59032592,정안면,종교,교회시설,3,1
보배반점/공주신관점 [중식],127.1410621,36.47306161,신관동,음식점,중식,22,4
복다방타로카페,127.1225917,36.45520243,중학동,카페,테마카페,4,2
복영정육식당,127.1223913,36.46256293,웅진동,음식점,한식,42,4
복짜장/[중식],127.1213973,36.46456246,웅진동,음식점,중식,13,3
본도시락/공주중동점,127.1244527,36.45645229,중학동,음식점,도시락전문,3,1
본죽/공주신관동점,127.1354237,36.47322822,신관동,음식점,죽,28,4
봄날처럼펜션,127.2449984,36.35860304,반포면,숙박,펜션,7,3
봉곡리커피,127.2263038,36.4030698,반포면,카페,카페기타,6,2
봉리단길,127.1491169,36.47964424,월송동,카페,카페기타,3,1
봉우리,127.1646626,36.44921386,옥룡동,카페,전통찻집,3,1
봉정나래유아숲체험원,127.0929556,36.4392874,금학동,관광명소,체험학습,4,2
봉정동마을회관,127.0873728,36.43298253,금학동,사회시설,회관,7,3
봉황재한옥,127.1200556,36.45079606,중학동,숙박,전통숙소,36,4
봉황지낚시터,127.1032595,36.51780628,우성면,레저/스포츠,낚시,18,4
부띠끄호텔반디,127.2549974,36.36824089,반포면,숙박,모텔/여관,19,4
부엉이식당,127.1431731,36.47272832,신관동,음식점,한식,33,4
부일식품영농조합,127.1920026,36.41406863,계룡면,업종별기업,음식료업,9,3
부자떡집,127.1238416,36.45853539,웅진동,음식점,떡/한과,531,5
부짓집돼지국밥,127.124036,36.4591742,웅진동,음식점,한식,3,1
부흥루/[중식],127.1241749,36.45595235,중학동,음식점,중식,6,2
북경깐풍기/[중식],127.1365185,36.47023557,신관동,음식점,중식,9,3
북경탕수육/공주점,127.1249526,36.45514689,중학동,음식점,중식,141,5
북계2리마을회관,127.1236186,36.54688641,정안면,사회시설,회관,3,1
북촌35제빵소,127.244054,36.35982512,반포면,음식점,제과점,14,3
분반차정다운아지트,127.2361654,36.40176474,반포면,음식점,세계요리,77,5
불끈낙지/공주점,127.1747538,36.4465926,옥룡동,음식점,전문음식점,3,1
불장골저수지,127.2652184,36.39770981,반포면,관광명소,저수지,3,1
브로시스컴,127.1360348,36.46958975,신관동,카페,카페기타,3,1
블랙야크/공주타운점,127.1616158,36.48297726,월송동,의류/직물,스포츠·캐주얼의류,6,2
블랙펄호텔,127.1294799,36.4707007,신관동,숙박,모텔/여관,51,4
비나인동물병원,127.1389478,36.47411375,신관동,기타의료시설,동물병원,6,2
빅스타피자/공주점,127.137368,36.47117291,신관동,음식점,패스트푸드,15,3
빌드켐,127.0455153,36.44573084,우성면,업종별기업,비금속 광물,3,1
빽다방/공주대점,127.1375347,36.47281162,신관동,카페,커피전문점,45,4
뽀빠이식당,127.1303687,36.4692842,신관동,음식점,배달음식점,3,1
뿌띠뿌띠펜션,127.2653299,36.36279712,반포면,숙박,펜션,11,3
삐리리대반점/[중식],127.1214529,36.45525797,중학동,음식점,중식,3,1
사계절육묘장,127.1225079,36.51477896,의당면,농/어업,농/어업기타,3,1
사곡양조원,127.0258222,36.50127994,사곡면,업종별기업,음식료업,47,4
사곡할인마트,127.0250749,36.50329941,사곡면,슈퍼/마트,슈퍼/마트 기타,127,5
사람과나무펜션,127.2502757,36.35854752,반포면,숙박,펜션,4,2
사자김밥,127.1395204,36.47528381,신관동,음식점,분식,6,2
사현1리경로당,127.1274231,36.6267662,정안면,사회시설,사회복지시설,3,1
산골,127.2377945,36.35841897,반포면,음식점,한식,3,1
산골장어앤쌈밥,127.217028,36.42670623,반포면,음식점,전문음식점,3,1
산과별캠핑장,127.0185164,36.59360269,사곡면,레저/스포츠,캠프장,65,5
산구름마을펜션,127.2025573,36.40182009,계룡면,숙박,펜션,4,2
산너머남촌에는펜션,127.2489425,36.35849196,반포면,숙박,펜션,22,4
산성한우불고기,127.123536,36.46111842,웅진동,음식점,한식,16,4
산수맛집,127.2509743,36.36002689,반포면,음식점,한식,15,3
산야초본가식당,127.2444911,36.3603647,반포면,음식점,한식,19,4
삼대째손두부,127.1319241,36.47095068,신관동,음식점,한식,25,4
삼미식당/[한식],127.1234748,36.45463772,중학동,음식점,한식,3,1
삼부자손두부집,127.2483738,36.3602939,반포면,음식점,한식,44,4
삼성스토어/공주신관점,127.1437286,36.47467255,신관동,가전,삼성,9,3
삼성전자서비스/공주센터,127.1437303,36.47467039,신관동,가전,삼성,282,5
삼양세탁소,127.1211474,36.45525797,중학동,생활서비스,세탁소,6,2
삼양소재개발,127.0254895,36.42528861,우성면,업종별기업,기계,8,3
삼양에이알,127.1273132,36.49108725,신관동,업종별기업,기계,3,1
삼우타운24시불가마사우나,127.1454228,36.4769223,신관동,생활서비스,찜질방,67,5
삼이씨앤지,127.0292664,36.49436408,사곡면,업종별기업,건설업,3,1
삼채가,127.1075176,36.48681202,신관동,음식점,한식,3,1
삼첩분식/충남공주점,127.1362292,36.47322823,신관동,음식점,분식,6,2
삼화페인트공업/공주공장,127.0643364,36.30521388,탄천면,업종별기업,화학,271,5
상상무인텔,127.2516558,36.36747524,반포면,숙박,모텔/여관,9,3
상서1리마을회관,127.0855794,36.48370849,우성면,사회시설,회관,3,1
상신계곡펜션,127.2137509,36.38223905,반포면,숙박,펜션,7,3
상운철물,127.1216751,36.45859092,웅진동,생활서비스,철물점,3,1
새롬펜션&캠핑,127.0430212,36.57553463,사곡면,숙박,펜션,4,2
새실교회,127.1269231,36.63476528,정안면,종교,교회시설,4,2
새이학가든,127.1219528,36.46653446,웅진동,음식점,한식,206,5
샤브마니아/공주점,127.128591,36.47236717,신관동,음식점,전문음식점,57,5
샤브쌈주머니/공주점,127.1503668,36.4772834,월송동,음식점,전문음식점,55,5
샤브하우스,127.1402566,36.47356155,신관동,음식점,샤브샤브,9,3
샵17커피,127.141451,36.47689451,신관동,카페,카페기타,9,3
서우마트/공주점,127.1437841,36.47892207,월송동,슈퍼/마트,슈퍼/마트 기타,687,5
서울식당,127.1799615,36.36913957,계룡면,음식점,한식,133,5
서울식당,127.236606,36.35761577,반포면,음식점,한식,5,2
서울안과의원,127.1246471,36.45811877,웅진동,의료시설,의원,14,3
서울칼국수,127.1540332,36.47158963,월송동,음식점,한식,192,5
서울튼튼신경외과의원,127.1230639,36.45856316,웅진동,의료시설,의원,9,3
서진약품,127.04146,36.46145124,우성면,업종별기업,유통업,3,1
서해꽃게장,127.2663853,36.36604676,반포면,음식점,전문음식점,37,4
석장리계절별꽃단지,127.1916968,36.44567614,석장리동,관광명소,관광명소기타,6,2
석장리박물관,127.1896692,36.44759257,월송동,문화생활시설,박물관/기념관,629,5
석장리박물관/방문자센터,127.1883914,36.44758539,월송동,관광명소,관광안내소,3,1
선비꼬마김밥/공주점,127.1469896,36.47453371,신관동,음식점,분식,6,2
선지교회,127.1502,36.49394817,의당면,종교,교회시설,3,1
선학리마을회관,126.9875478,36.49430829,신풍면,사회시설,회관,4,2
설빙/공주점,127.1413399,36.47300606,신관동,카페,카페기타,26,4
