목적지명,목적지X좌표,목적지Y좌표,목적지읍면동명,중분류,소분류,방문건수,방문건수구간
갑사가는길,127.2030015,36.42903921,반포면,음식점,전문음식점,3,1
갑사한옥민박,127.1787827,36.37337128,계룡면,숙박,펜션,3,1
강가애,127.093872,36.45892406,우성면,카페,카페기타,4,2
강가에서,127.071763,36.44273133,금학동,카페,카페기타,3,1
강백년문화관,127.1683019,36.58552383,의당면,문화생활시설,문화생활시설기타,6,2
강변파크,127.1325629,36.46814545,신관동,숙박,모텔/여관,4,2
강북생활문화센터,127.1548914,36.47130835,월송동,문화생활시설,문화생활시설기타,4,2
개성집/공주점,127.122493,36.46349257,웅진동,음식점,한식,130,5
갤러리아울,127.2512476,36.38643324,반포면,카페,카페기타,21,4
검상농공단지,127.0737907,36.43278803,금학동,산업시설,농공단지,7,3
검상동마을회관,127.0644026,36.43700972,금학동,사회시설,회관,3,1
견동리마을회관,126.9999924,36.35593526,탄천면,사회시설,회관,4,2
경기식당,127.2352254,36.35705848,반포면,음식점,한식,11,3
경동택배/공주신금1영업소,127.1464227,36.47706118,신관동,생활서비스,택배,52,4
경희네,127.1360904,36.47111736,신관동,음식점,한식,4,2
계룡산1박2일펜션,127.2415542,36.3599362,반포면,숙박,펜션,19,4
계룡산갑사유스호스텔,127.1783097,36.37132342,계룡면,숙박,유스호스텔,17,4
계룡산골프장,127.1908199,36.4096414,계룡면,레저/스포츠,골프연습장,350,5
계룡산공영주차장,127.2385823,36.358603,반포면,자동차시설,주차장,7,3
계룡산국립공원,127.2021689,36.35204798,반포면,관광명소,국립공원,6,2
계룡산국립공원/갑사지구,127.1829205,36.36785162,계룡면,관광명소,국립공원,29,4
계룡산국립공원/동학사지구,127.2324162,36.35688094,반포면,관광명소,국립공원,200,5
계룡산그린콘도,127.2366211,36.35839156,반포면,숙박,콘도/리조트,16,4
계룡산글램핑/동월숲,127.2534143,36.35593672,반포면,레저/스포츠,캠프장,4,2
계룡산도예촌,127.2164728,36.38943269,반포면,관광명소,고택/생가/민속마을,9,3
계룡산동남가든,127.2683599,36.37001497,반포면,음식점,전문음식점,3,1
계룡산동학사스타펜션,127.2432518,36.36038457,반포면,숙박,펜션,15,3
계룡산동학사펜션,127.2431849,36.36029789,반포면,숙박,펜션,5,2
계룡산두부마을,127.2469426,36.35982513,반포면,음식점,한식,3,1
계룡산드림펜션,127.2551641,36.36143611,반포면,숙박,펜션,6,2
계룡산마루펜션,127.2190893,36.3900986,반포면,숙박,펜션,6,2
계룡산묵사랑,127.1497049,36.43518573,옥룡동,음식점,한식,20,4
계룡산사계절펜션,127.1680102,36.3315563,계룡면,숙박,펜션,104,5
계룡산산내음펜션,127.1721462,36.37153444,계룡면,숙박,펜션,3,1
계룡산쉴만한물가펜션,127.2553438,36.36136,반포면,숙박,펜션,16,4
계룡산식당,127.2352925,36.35705677,반포면,음식점,한식,11,3
계룡산알밤,127.1281744,36.47064514,신관동,업종별기업,음식료업,19,4
계룡산온천,127.2525254,36.36557451,반포면,관광명소,온천,6,2
계룡산의아침,127.2378601,36.35746424,반포면,숙박,펜션,20,4
계룡산자동차야영장,127.2417764,36.35771423,반포면,레저/스포츠,캠프장,17,4
계룡산작은쉼터,127.1619779,36.37024012,계룡면,숙박,펜션,3,1
계룡산장추어탕,127.2514768,36.36495762,반포면,음식점,한식,3,1
계룡산제빵소,127.1393967,36.35257533,계룡면,음식점,제과점,127,5
계룡산콘도텔,127.237499,36.35743646,반포면,숙박,모텔/여관,3,1
계룡산한우곰탕,127.2519699,36.36051953,반포면,음식점,한식,6,2
계룡산해피투게더펜션,127.2513867,36.3590197,반포면,숙박,펜션,23,4
계룡산힐링펜션,127.247887,36.36021398,반포면,숙박,펜션,3,1
계룡산힐링펜션,127.2478955,36.36021235,반포면,숙박,펜션,3,1
계룡저수지,127.1538676,36.35815811,계룡면,관광명소,저수지,111,5
계룡철학관,127.1391551,36.47483481,신관동,생활서비스,생활서비스기타,3,1
계림식당,127.1214135,36.46262836,웅진동,음식점,한식,18,4
계실리마을회관,127.0462369,36.51480629,사곡면,사회시설,회관,6,2
고가네칼국수,127.1234805,36.45348041,중학동,음식점,한식,245,5
고기백화점,127.1330073,36.4717006,신관동,시장,농수축산물시장,18,4
고기사랑셀프식당,127.1239528,36.45039743,중학동,음식점,한식,6,2
고기정원,127.0420937,36.47228212,사곡면,음식점,전문음식점,41,4
고들정육식당,127.2529143,36.35860308,반포면,음식점,한식,15,3
고려산업/공주공장,127.1618722,36.49097347,월송동,업종별기업,제조업,6,2
고마게스트하우스,127.1227781,36.46522916,웅진동,숙박,게스트하우스,9,3
고마나루1999,127.1227299,36.46495363,웅진동,음식점,한식,351,5
고마두부마을,127.1127315,36.45914636,웅진동,음식점,전문음식점,7,3
고마스크린골프,127.0938998,36.45895183,우성면,레저/스포츠,골프연습장,3,1
고마커피,127.1222305,36.46600675,웅진동,카페,커피전문점,3,1
고박사냉면초계막국수,127.1526166,36.48192178,월송동,음식점,한식,45,4
고봉민김밥인/터미널점,127.1363404,36.47006192,신관동,음식점,분식,12,3
고사리잡화점,127.131452,36.45461921,옥룡동,쇼핑기타,쇼핑기타,3,1
