목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
롯데리아/대전죽동점,127.338439413888,36.3705664302652,대전광역시 유성구,1.0,월요일
롯데리아/신부여점,126.910800409156,36.2803785880987,충청남도 부여군,1.0,월요일
롯데마트/노은점,127.321531542788,36.3843217680646,대전광역시 유성구,4.0,월요일
롯데마트/서산점,126.4392089417498,36.77342180231256,충청남도 서산시,2.0,월요일
롯데마트/성정점,127.14001749247444,36.82622277143053,충청남도 천안시 서북구,4.0,월요일
롯데마트/홍성점,126.67650183687547,36.60077393104098,충청남도 홍성군,2.0,월요일
롯데하이마트/보령점,126.6032518659608,36.34961588682502,충청남도 보령시,1.0,월요일
롯데하이마트/유성점,127.338173572013,36.3637254724164,대전광역시 유성구,1.0,월요일
마시기똥차,127.134875611176,36.4720448271084,신관동,1.0,월요일
마음이편한정신과의원,127.118703305079,36.4407318312528,금학동,1.0,월요일
마춤정,127.20142467440762,37.09511442919487,경기도 안성시,2.0,월요일
만인산자연휴양림,127.45511076795763,36.20218059827905,충청남도 금산군,1.0,월요일
매봉작은도서관,127.103206005415,36.9961799969936,경기도 평택시,1.0,월요일
매주리커피,127.12963315245231,36.92360569283677,충청남도 천안시 서북구,1.0,월요일
맥도날드/대전가수원DT점,127.3483630592118,36.303660591306,대전광역시 서구,1.0,월요일
맥도날드/북수원DT점,127.002662014003,37.3051692819128,경기도 수원시 장안구,1.0,월요일
명곡낚시터,126.939162351814,36.5991293747526,유구읍,1.0,월요일
명량노을지는갯마을편/태안본점,126.33401126108488,36.71729842419639,충청남도 태안군,1.0,월요일
명작무인텔,127.249109042044,36.366074433929,반포면,1.0,월요일
명품코다리조림/아산본점,126.97003137611831,36.75763654785846,충청남도 아산시,1.0,월요일
모던스토리/대전세종가구단지점,127.1977768314398,36.44422125429769,월송동,2.0,월요일
모텔산,127.13067995111436,36.469569928221446,신관동,4.0,월요일
목동교회,127.094456037849,36.3757113252968,이인면,3.0,월요일
목동리남월경로당,127.09653283017336,36.38639978969498,이인면,1.0,월요일
목화밀면&양꼬치/공주직영점,127.139923328808,36.475422442556,신관동,2.0,월요일
몰튼버터,127.234592140935,36.5199221243375,세종특별자치시,1.0,월요일
무궁화회관,127.12175085840867,36.4520275783658,중학동,2.0,월요일
무한지대,126.79572801811318,35.13697735010624,광주광역시 광산구,1.0,월요일
미앤맘산부인과의원,127.14117322945252,36.47408926860215,신관동,2.0,월요일
미트클럽스토어/유성점,127.30801173992424,36.38952471146498,대전광역시 유성구,1.0,월요일
바낙스/대전점,127.36678686504672,36.35469240117345,대전광역시 서구,1.0,월요일
바디앤솔필라테스/나성점,127.257620493074,36.4909907984932,세종특별자치시,1.0,월요일
바티안,127.152561590749,36.4196788729382,계룡면,1.0,월요일
박경규항아리보쌈/호매실점,126.95549306206084,37.27163330508447,경기도 수원시 권선구,1.0,월요일
박동진판소리전수관,127.17125402990938,36.457924621488594,월송동,1.0,월요일
박씨국시,127.339269276294,36.3373755800051,대전광역시 유성구,1.0,월요일
밥한톨,127.37307882693256,36.352261378305165,대전광역시 서구,1.0,월요일
배스킨라빈스/아산둔포점,127.054592372083,36.923852210277445,충청남도 아산시,1.0,월요일
배스킨라빈스/전북김제점,126.89909505430612,35.80332458254085,전라북도 김제시,1.0,월요일
백강막국수,126.89322793411172,36.282605451633685,충청남도 부여군,1.0,월요일
백마강참숯민물장어/유성점,127.339904452357,36.3507688718459,대전광역시 유성구,1.0,월요일
백설농부,126.68197618464,36.7616127678715,충청남도 예산군,1.0,월요일
버거킹/평택고덕신도시GS점,127.04735276332318,37.0479598767063,경기도 평택시,1.0,월요일
베시두즈,127.2592973,36.4067245,반포면,1.0,월요일
벤베커/아산신정호점,126.980016606232,36.752668969207,충청남도 아산시,1.0,월요일
벨류코퍼레이션,127.33677553062002,36.36534973229632,대전광역시 유성구,1.0,월요일
벽우,126.682182006834,36.9004212035785,충청남도 당진시,1.0,월요일
별당아씨해물포차,127.45111849003122,36.61572172279671,충청북도 청주시 서원구,1.0,월요일
보리주머니,127.259426233519,36.5144025016747,세종특별자치시,1.0,월요일
복촌손만두,127.35091782849,36.3919458620084,대전광역시 유성구,1.0,월요일
본도시락/공주중동점,127.124452653347,36.456452294029,중학동,1.0,월요일
봉황재한옥,127.12005564745544,36.45079606133315,중학동,1.0,월요일
부강쌀상회,127.482617021604,34.965292437696,전라남도 순천시,1.0,월요일
부곡체육공원,126.959139917559,37.3142915463046,경기도 의왕시,1.0,월요일
부대통령뚝배기/공주대점,127.13766517243,36.46958327210822,신관동,1.0,월요일
