목적지명_통합,목적지X좌표,목적지Y좌표,방문건수,표시용행정구역,festival_period,is_weekend,요일
세종스포츠센터,127.22366684508,36.4983460328631,1.0,세종특별자치시,전체기간,1,Saturday
세종시립도서관,127.24044686110923,36.51053125899817,15.0,세종특별자치시,전체기간,1,Sunday
세종시민운동장,127.2840671053424,36.595886627168376,2.0,세종특별자치시,전체기간,1,Saturday
세종시민체육관,127.284385298626,36.5951928912638,2.0,세종특별자치시,전체기간,0,Tuesday
세종시티오송호텔,127.32867577487424,36.63150473572419,3.0,충청북도 청주시 흥덕구,전체기간,0,Wednesday
세종신한공인중개사사무소,127.31259840741676,36.49743515911219,1.0,세종특별자치시,전체기간,0,Wednesday
세종아이콤스타타워,127.299143656764,36.4844596630357,1.0,세종특별자치시,전체기간,0,Tuesday
세종액자갤러리,127.279088509399,36.5580458560921,1.0,세종특별자치시,전체기간,0,Friday
세종어린이천문대,127.224249200305,36.4447961774556,1.0,세종특별자치시,전체기간,0,Tuesday
세종에이스타워,127.262811243101,36.482732084984,1.0,세종특별자치시,전체기간,0,Thursday
세종연합비뇨기과의원,127.25646389269907,36.48850789861456,1.0,세종특별자치시,전체기간,0,Friday
세종예술의전당,127.26730156104747,36.48657546135894,4.0,세종특별자치시,전체기간,0,Friday
세종우리의원,127.249259087562,36.4951827170205,2.0,세종특별자치시,전체기간,1,Sunday
세종위드정형외과의원,127.2569023852012,36.48780134908453,1.0,세종특별자치시,전체기간,1,Saturday
세종이도삼계탕/청당점,127.15110947902032,36.78664141161391,1.0,충청남도 천안시 동남구,전체기간,1,Saturday
세종이마트믿음약국,127.250984382998,36.4708982909093,2.0,세종특별자치시,전체기간,1,Sunday
세종이안과의원,127.25121024257628,36.48694835721769,2.0,세종특별자치시,전체기간,0,Friday
세종전자담배마켓,127.25964592684024,36.51332965106565,1.0,세종특별자치시,전체기간,0,Wednesday
세종전통시장,127.29955607195916,36.60128077520827,13.0,세종특별자치시,전체기간,0,Monday
세종중앙공원,127.27171654494391,36.49172911879095,11.0,세종특별자치시,전체기간,0,Thursday
세종중앙타운,127.26279942560498,36.508303318511146,4.0,세종특별자치시,전체기간,0,Friday
세종중앙타워,127.2410288412554,36.51173132317175,1.0,세종특별자치시,전체기간,0,Tuesday
세종철물건재센터,127.065014937555,36.360383387316,2.0,이인면,전체기간,0,Monday
세종충남대학교병원,127.25811510187884,36.519632033403575,24.0,세종특별자치시,전체기간,1,Sunday
세종충북대학교동물병원,127.33402773941128,36.50250195016058,1.0,세종특별자치시,전체기간,0,Tuesday
세종태평양약국,127.27654767637377,36.4715501039495,1.0,세종특별자치시,전체기간,0,Friday
세종테크노파크,127.2930367004087,36.593247098504406,2.0,세종특별자치시,전체기간,0,Thursday
세종특별자치시보건소,127.29266725237004,36.59602982704183,1.0,세종특별자치시,전체기간,0,Wednesday
세종파이낸스센터3차,127.25989742030478,36.49739308289045,3.0,세종특별자치시,전체기간,0,Friday
세종퍼스트피부과의원,127.24972562791196,36.504222136538736,1.0,세종특별자치시,전체기간,0,Friday
세종페스타볼링장,127.275605699782,36.4727355053508,2.0,세종특별자치시,전체기간,1,Sunday
세종풋살파크,127.28641330960328,36.5790720150926,1.0,세종특별자치시,전체기간,0,Tuesday
세종프라임요양병원,127.13878326130516,36.57484401155534,10.0,정안면,전체기간,0,Wednesday
세종필드GC,127.25324392232513,36.53571270957741,3.0,세종특별자치시,전체기간,0,Tuesday
세종필드골프연습장,127.26724370703268,36.54117646949371,4.0,세종특별자치시,전체기간,0,Friday
세종한빛교회,127.25557571357524,36.49467371762097,1.0,세종특별자치시,전체기간,0,Wednesday
세종한우타운,127.287588444041,36.5946589393157,2.0,세종특별자치시,전체기간,1,Saturday
세종호수공원,127.2733013064574,36.498069637849945,100.0,세종특별자치시,전체기간,1,Sunday
세진엘에스,127.170012462891,36.7586272392512,1.0,충청남도 천안시 동남구,전체기간,0,Wednesday
세컨드힐,127.11936682596,36.8000464160346,1.0,충청남도 천안시 서북구,전체기간,1,Sunday
세컨디포레스트/세종점,127.2515331729888,36.48672959675223,2.0,세종특별자치시,전체기간,1,Saturday
세한대학교/당진캠퍼스,126.7805486951239,36.87527590475408,5.0,충청남도 당진시,전체기간,0,Friday
센텀정형외과신경외과의원,127.42648466622865,36.64331316332979,1.0,충청북도 청주시 흥덕구,전체기간,0,Wednesday
센트럴테라스,127.27591876826604,36.473233123028905,1.0,세종특별자치시,전체기간,0,Wednesday
셀클리닉의원,127.030238650877,37.2600161714642,1.0,경기도 수원시 권선구,전체기간,0,Friday
소나무집/공주점,127.21405328504494,36.41915327165488,5.0,반포면,전체기간,1,Saturday
소노벨/변산,126.47026748408766,35.63161947098909,4.0,전라북도 부안군,전체기간,1,Saturday
소노벨/천안,127.22408069571053,36.757402292962034,7.0,충청남도 천안시 동남구,전체기간,0,Friday
소담내과의원,127.299627896031,36.4850171654103,1.0,세종특별자치시,전체기간,1,Saturday
소담서점/한솔점,127.251506709732,36.4757796748576,1.0,세종특별자치시,전체기간,0,Friday
소담정,127.1230638088544,36.46534016105818,12.0,웅진동,전체기간,0,Friday
소담촌/세종점,127.258495693892,36.4897128672646,2.0,세종특별자치시,전체기간,1,Sunday
소담촌/제천점,128.22429320202005,37.12388498650527,1.0,충청북도 제천시,전체기간,1,Saturday
소도둑/대전송촌점,127.43976871108148,36.3633442590563,1.0,대전광역시 대덕구,전체기간,0,Friday
소래도서관,126.723161486686,37.3932506286952,1.0,인천광역시 남동구,전체기간,1,Saturday
소랭이개울가,127.076955361803,36.6266548041185,1.0,정안면,전체기간,1,Sunday
소랭이활성화센터,127.083399224646,36.6273769815243,3.0,정안면,전체기간,0,Friday
소로빵집,127.12296484866562,36.45591786207388,3.0,중학동,전체기간,1,Saturday
소망공동체,127.167754555522,36.4340106610791,1.0,옥룡동,전체기간,1,Sunday
소설스미스호텔/천안점,127.144468430967,36.827329414114,1.0,충청남도 천안시 서북구,전체기간,0,Monday
소소아한옥,127.12273285546,36.4531118744157,1.0,중학동,전체기간,0,Friday
소소일,127.137253330365,35.7951231372472,1.0,전라북도 전주시 완산구,전체기간,0,Thursday
소이나루공원,127.62206500106,36.0039795764088,1.0,전라북도 무주군,전체기간,1,Saturday
소정면보건지소,127.15724012774788,36.72200522790877,1.0,세종특별자치시,전체기간,0,Monday
소중한배내과의원,127.4602547950614,36.317924546368175,1.0,대전광역시 동구,전체기간,0,Friday
소프트아이텍,127.33398043395906,36.37225876529617,1.0,대전광역시 유성구,전체기간,0,Monday
소호정/분당점,127.11555621809,37.4214930871732,1.0,경기도 성남시 수정구,전체기간,1,Sunday
소호항,127.65635168488,34.7456829464063,1.0,nan nan,전체기간,1,Sunday
속동전망대,126.464419566058,36.5768251997109,1.0,충청남도 홍성군,전체기간,1,Sunday
속리산국립공원/법주사지구,127.827639210311,36.5350841324978,1.0,충청북도 보은군,전체기간,0,Friday
속리산산채순대,127.49854221308316,36.62536588083632,1.0,충청북도 청주시 상당구,전체기간,1,Sunday
속초그바람에/천안직영점,127.171361619097,36.8123091619788,1.0,충청남도 천안시 동남구,전체기간,0,Monday
손근형소아청소년과의원,127.25986898793668,36.48921695128858,1.0,세종특별자치시,전체기간,1,Saturday
손수차림/[한식],127.152144414139,36.4808663373921,9.0,월송동,전체기간,1,Sunday
손이가어죽칼국수,127.42237754606484,36.32984728025321,1.0,대전광역시 중구,전체기간,1,Sunday
솔가숯불갈비/논산직영점,127.105492080736,36.1791282708356,2.0,충청남도 논산시,전체기간,0,Tuesday
솔다리펜션가든,127.031710045438,36.5543572470681,3.0,사곡면,전체기간,0,Friday
솔뫼성지,126.78612930486771,36.82032595782546,2.0,충청남도 당진시,전체기간,1,Saturday
솔바람풍경펜션,126.35851634127904,36.49780979494231,1.0,충청남도 태안군,전체기간,0,Thursday
솔반,127.22111106353,36.4180683464055,12.0,반포면,전체기간,0,Wednesday
솔밭묵집,127.3822460563971,36.41503042967056,5.0,대전광역시 유성구,전체기간,0,Friday
솔밭식당,127.12133310289244,36.45417145117501,2.0,중학동,전체기간,0,Monday
솔브레인에스엘디,127.0771,36.4312441,1.0,금학동,전체기간,0,Monday
솔브레인홀딩스/공주공장,127.077679254248,36.4322325630065,4.0,금학동,전체기간,0,Wednesday
솔솥/천안불당점,127.105087776269,36.8105172892399,1.0,충청남도 천안시 서북구,전체기간,0,Tuesday
솔약국,127.123341622328,36.4585631579145,4.0,중학동,전체기간,1,Saturday
솔이미용실,126.746998664639,34.3167105033959,1.0,전라남도 완도군,전체기간,0,Tuesday
솔향펜션,127.25890347581549,36.3355191565812,5.0,반포면,전체기간,1,Saturday
솟음,127.141546664529,36.3607173580698,3.0,계룡면,전체기간,0,Monday
송강프라자,127.386469489919,36.4359499618328,1.0,대전광역시 유성구,전체기간,0,Monday
송계계곡,128.088034731013,36.8653078110695,1.0,충청북도 제천시,전체기간,0,Monday
송광사,127.2761303580498,35.00218023003931,1.0,전라남도 순천시,전체기간,0,Thursday
송담근린공원,126.931226236617,36.9808865126614,1.0,경기도 평택시,전체기간,0,Friday
송도갈비/세종점,127.25941836470676,36.49531605946737,5.0,세종특별자치시,전체기간,1,Sunday
송도센트럴파크,126.63862968940776,37.39306395993943,2.0,인천광역시 연수구,전체기간,1,Sunday
송악저수지낚시터,126.98975544100068,36.72152471446253,1.0,충청남도 아산시,전체기간,0,Monday
송암교회교육관,127.017157309739,37.635352432934,1.0,서울특별시 강북구,전체기간,0,Tuesday
송원골프랜드,127.171392677953,36.483366164974,27.0,월송동,전체기간,0,Friday
송정스크린골프,127.25778770591567,37.41904298865224,5.0,경기도 광주시,전체기간,0,Wednesday
송촌동성당,127.445175164323,36.3614353828158,3.0,대전광역시 대덕구,전체기간,1,Sunday
송탄역공영주차장,127.05394161473583,37.07521451963436,1.0,경기도 평택시,전체기간,0,Tuesday
솥뚜껑매운탕,127.0472941,36.4792807,99.0,우성면,전체기간,1,Saturday
수덕사,126.62266829634896,36.663321863557336,9.0,충청남도 예산군,전체기간,1,Saturday
수덕사/견성암,126.619387675188,36.6628626633137,1.0,충청남도 예산군,전체기간,0,Friday
수른,127.258304560785,36.4909694941081,1.0,세종특별자치시,전체기간,1,Saturday
수리왕족발보쌈/유성점,127.34707727875356,36.35743407395712,1.0,대전광역시 유성구,전체기간,0,Wednesday
수리치골성지,126.896028011974,36.519277144012,3.0,신풍면,전체기간,1,Saturday
수모텔,127.130368678829,36.4692841981498,18.0,신관동,전체기간,0,Monday
수미가/[중식],127.132451806344,36.4715617282657,5.0,신관동,전체기간,0,Tuesday
수미순두부/본점,127.235281682627,36.5190412407931,4.0,세종특별자치시,전체기간,1,Saturday
수북로1945,126.887540573987,36.27219057626,1.0,충청남도 부여군,전체기간,1,Sunday
수북정,126.890758785154,36.2756613457931,1.0,충청남도 부여군,전체기간,0,Thursday
수사랑동물병원,127.317419670815,36.3696869054702,1.0,대전광역시 유성구,전체기간,0,Wednesday
수아베필라테스,127.15566509969992,36.82668901313999,1.0,충청남도 천안시 동남구,전체기간,0,Tuesday
수업이끝난오후,127.137402604812,36.47228040407016,3.0,신관동,전체기간,0,Tuesday
수옥,127.061681293162,36.3622682244396,3.0,이인면,전체기간,0,Wednesday
수원대학교,126.97602056482954,37.208765169112326,3.0,경기도 화성시,전체기간,1,Sunday
수원컨벤션센터,127.05951347886264,37.28582349532365,1.0,경기도 수원시 영통구,전체기간,0,Monday
수원화성박물관,127.019025489213,37.282717530014,1.0,경기도 수원시 팔달구,전체기간,0,Monday
수정구보건소,127.14415456771,37.4442862018693,1.0,경기도 성남시 수정구,전체기간,1,Saturday
수정옥,127.026655411734,36.5011966220596,2.0,사곡면,전체기간,0,Wednesday
수정재,127.371019929065,36.3296933132258,1.0,대전광역시 서구,전체기간,0,Monday
수제빵연구소/유성지점,127.34119051081318,36.34372341280587,1.0,대전광역시 유성구,전체기간,1,Sunday
수진이네할인매장,126.604325613228,36.3219001536937,1.0,충청남도 보령시,전체기간,1,Sunday
수통골감나무집/본점,127.291709120632,36.3466967551664,13.0,대전광역시 유성구,전체기간,1,Saturday
수통골장수오리,127.294171160252,36.3461391989581,3.0,대전광역시 유성구,전체기간,1,Sunday
수편족욕카페,127.234735538423,36.2858373389685,1.0,충청남도 계룡시,전체기간,0,Wednesday
수호두파이,126.969357727118,37.5209342576638,1.0,서울특별시 용산구,전체기간,0,Monday
숙골순대,127.129207940313,36.47087967152866,1.0,신관동,전체기간,0,Friday
숙성초벌돼지구이정돈가,127.13678555693264,36.47123867053935,1.0,신관동,전체기간,1,Saturday
숙진1리마을회관,127.147312107181,36.2533141819585,1.0,충청남도 논산시,전체기간,1,Saturday
순남시래기/세종시청점,127.2879630795394,36.4787774330107,1.0,세종특별자치시,전체기간,1,Saturday
순돈/천안불당점,127.10548014801,36.8097996576573,1.0,충청남도 천안시 서북구,전체기간,0,Monday
순수정육점,127.31178436337676,36.49817623601573,1.0,세종특별자치시,전체기간,0,Tuesday
순심이흑염소,127.28947936961006,36.430399401550176,1.0,세종특별자치시,전체기간,1,Sunday
순천만습지,127.509555018979,34.8856119885429,1.0,전라남도 순천시,전체기간,1,Saturday
순천향대학교,126.93150466943824,36.76998575009645,3.0,충청남도 아산시,전체기간,1,Sunday
순천향대학교천안병원/응급의료센터,127.137000309907,36.8031128186275,3.0,충청남도 천안시 동남구,전체기간,1,Saturday
순풍산부인과의원,129.265246864584,35.5508271563999,1.0,울산광역시 남구,전체기간,0,Wednesday
순풍외과의원,127.124702605345,36.4593408549073,3.0,웅진동,전체기간,1,Saturday
숨은그림성형외과의원,127.37998137387828,36.35451599499938,1.0,대전광역시 서구,전체기간,0,Friday
숭덕전,127.112564768132,36.462590413658,2.0,웅진동,전체기간,0,Monday
숭선군묘,127.070377429994,36.4110011727529,1.0,이인면,전체기간,0,Monday
숯골원냉면/본점,127.350236467954,36.3901347083313,4.0,대전광역시 유성구,전체기간,1,Saturday
숯골원냉면갈비,127.341790176617,36.3560407777164,1.0,대전광역시 유성구,전체기간,0,Friday
숯불직화꼬치여행,127.141924192596,36.4727647916058,2.0,신관동,전체기간,0,Monday
숯불화로최고집,127.1362570236,36.471506201237,13.0,신관동,전체기간,0,Friday
숲501,127.075596528165,35.8598746219405,2.0,전라북도 전주시 덕진구,전체기간,0,Thursday
숲너울,127.01283959258052,36.64599932570363,57.0,유구읍,전체기간,1,Saturday
숲카페,127.237360142259,36.3597973019861,12.0,반포면,전체기간,0,Monday
쉐르헤어,127.424908388313,36.4460619256425,1.0,대전광역시 대덕구,전체기간,1,Sunday
슈바이처도르프호텔,127.142243706373,36.8274897902078,1.0,충청남도 천안시 서북구,전체기간,1,Sunday
슈슈앤크라/세종점,127.24103075819316,36.51162948887707,1.0,세종특별자치시,전체기간,0,Monday
슈엔챠이/공주점 [중식],127.132786752418,36.47242388191961,16.0,신관동,전체기간,0,Friday
스노우라인/천안직영점,127.124303852889,36.7799429183775,2.0,충청남도 천안시 동남구,전체기간,1,Sunday
스마일칼국수/선사점,127.377672910142,36.3595770976406,1.0,대전광역시 서구,전체기간,1,Saturday
스마트284,127.42137194485622,36.32821249023406,2.0,대전광역시 중구,전체기간,1,Saturday
스마트주차장,126.915978559023,35.151505211507,1.0,광주광역시 동구,전체기간,0,Monday
스마트하우스K,126.63914295125696,37.460267553469166,1.0,인천광역시 미추홀구,전체기간,1,Saturday
스몰톡소셜클럽,126.727924972512,37.507725223703,1.0,인천광역시 부평구,전체기간,0,Friday
스바라시라멘/쌍용점,127.11687325104756,36.79018350724915,2.0,충청남도 천안시 동남구,전체기간,1,Sunday
스시레스토,127.3013687619436,36.48558411478913,1.0,세종특별자치시,전체기간,0,Monday
스시린/두정점,127.1336425272154,36.83243873910679,1.0,충청남도 천안시 서북구,전체기간,0,Thursday
스시웨이/대전반석점,127.316786718635,36.3872686596606,1.0,대전광역시 유성구,전체기간,1,Saturday
스시카페고노,127.17873799340704,36.44479306648351,1.0,옥룡동,전체기간,0,Monday
스시타케,127.339777725723,36.3718495066653,1.0,대전광역시 유성구,전체기간,1,Sunday
스위치오프,127.124352968093,36.4547557242471,2.0,중학동,전체기간,1,Saturday
스카이무인호텔,127.2784910144957,36.64451702796968,3.0,세종특별자치시,전체기간,1,Sunday
스타명품옷수선,127.35247447009972,36.362691947078176,1.0,대전광역시 유성구,전체기간,1,Saturday
스타벅스/강남세곡점,127.099927618834,37.4672752513511,1.0,서울특별시 강남구,전체기간,0,Friday
스타벅스/계룡대로DT점,127.244392132826,36.2884206242839,8.0,충청남도 계룡시,전체기간,0,Thursday
스타벅스/공주DT점,127.142923126342,36.468201061595,192.0,신관동,전체기간,0,Thursday
스타벅스/공주동학사DT점,127.25355311583138,36.36338032238289,81.0,반포면,전체기간,1,Sunday
스타벅스/공주신관점,127.1400622122898,36.47464475430437,72.0,신관동,전체기간,1,Saturday
스타벅스/나주혁신DT점,126.803056267739,35.0212310552948,1.0,전라남도 나주시,전체기간,1,Saturday
스타벅스/남한산성입구역점,127.15945908497808,37.44968974401039,1.0,경기도 성남시 중원구,전체기간,1,Sunday
스타벅스/논산중앙점,127.089901420383,36.2012457441743,4.0,충청남도 논산시,전체기간,0,Wednesday
스타벅스/당진시곡DT점,126.6837198946191,36.90268074432952,1.0,충청남도 당진시,전체기간,0,Monday
스타벅스/대전IC DT점,127.44422278655937,36.35422594938755,1.0,대전광역시 동구,전체기간,1,Sunday
스타벅스/대전갈마DT점,127.37051085523537,36.35154392237487,3.0,대전광역시 서구,전체기간,1,Saturday
스타벅스/대전관저점,127.338057467418,36.2987075311215,4.0,대전광역시 서구,전체기간,0,Friday
스타벅스/대전관평동점,127.392639890764,36.4254799479314,1.0,대전광역시 유성구,전체기간,1,Sunday
스타벅스/대전노은점,127.319556881743,36.3734913697598,2.0,대전광역시 유성구,전체기간,1,Saturday
스타벅스/대전대사DT점,127.41742712002976,36.31880902436787,1.0,대전광역시 중구,전체기간,1,Saturday
스타벅스/대전도안DT점,127.34018681405291,36.35139799040111,3.0,대전광역시 유성구,전체기간,1,Sunday
스타벅스/대전둔산로점,127.37730088711076,36.35429018350784,2.0,대전광역시 서구,전체기간,1,Sunday
스타벅스/대전목원대점,127.338655241036,36.3319017605273,1.0,대전광역시 서구,전체기간,0,Wednesday
스타벅스/대전신탄진DT점,127.41989799541452,36.44874978917227,1.0,대전광역시 대덕구,전체기간,0,Friday
스타벅스/대전용전DT점,127.435504882862,36.3571958629923,1.0,대전광역시 동구,전체기간,0,Monday
스타벅스/대전유성NC점,127.34358388754596,36.35350152826562,1.0,대전광역시 유성구,전체기간,1,Sunday
스타벅스/대전유천DT점,127.398231229567,36.3183878790583,1.0,대전광역시 중구,전체기간,0,Friday
스타벅스/대전전민점,127.40052491500144,36.39943982882912,1.0,대전광역시 유성구,전체기간,0,Monday
