목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
묵향기,127.168118246573,36.7856165504211,충청남도 천안시 동남구,2.0,월요일
미소담치과의원,127.125063710556,36.4563967483638,중학동,1.0,월요일
바디피티/공주점,127.152838842079,36.4758113625468,월송동,4.0,월요일
바른길내과의원,127.324730895797,36.2991608155083,대전광역시 서구,1.0,월요일
바보아저씨,127.134284969261,36.4723672026274,신관동,3.0,월요일
바이아크,126.91074215822718,36.27288423415271,충청남도 부여군,2.0,월요일
박군치킨/새롬점,127.24840747373908,36.487137159954464,세종특별자치시,3.0,월요일
박봉명생갈비,127.345831765714,36.3584623211319,대전광역시 유성구,1.0,월요일
밝은누리안과병원,127.38075139508533,36.35157931951893,대전광역시 서구,1.0,월요일
백도냉삼,127.35508459183,36.3623417725032,대전광역시 유성구,1.0,월요일
백제CC,126.7906679373248,36.34755073965464,충청남도 부여군,1.0,월요일
병천순대거리,127.29791431805428,36.75999144715513,충청남도 천안시 동남구,1.0,월요일
보배반점/공주신관점 [중식],127.141062137428,36.473061607405,신관동,4.0,월요일
복드리오리/수통골점,127.293872820097,36.3461940036682,대전광역시 유성구,2.0,월요일
봄날횟집,127.123326682149,36.8265566421375,충청남도 천안시 서북구,2.0,월요일
봄봄이비인후과의원,127.233728280136,36.5055368940922,세종특별자치시,1.0,월요일
봉황재한옥,127.12005564745544,36.45079606133315,중학동,11.0,월요일
부여군보건소,126.909288007349,36.2830666042712,충청남도 부여군,1.0,월요일
부여청담병원,126.978184182666,36.3286810896306,충청남도 부여군,1.0,월요일
부적보건지소,127.1281214742198,36.21547875975501,충청남도 논산시,1.0,월요일
북경깐풍기/[중식],127.13651849325232,36.47023557226464,신관동,2.0,월요일
불끈낙지/공주점,127.17475382007,36.4465926008284,옥룡동,1.0,월요일
비인해수욕장,126.591150357989,36.1284814579462,충청남도 서천군,2.0,월요일
산들에카페,127.2374816665292,36.35816806444782,반포면,1.0,월요일
산애들애농원,126.972434992527,36.5874330973038,유구읍,1.0,월요일
산우주말농장,127.22938723706548,36.54792199827869,세종특별자치시,1.0,월요일
삼백레미콘,128.169021308699,36.4756802666913,경상북도 상주시,1.0,월요일
삼부자손두부집,127.2483738,36.3602939,반포면,2.0,월요일
삼성필성형외과의원,127.256806588013,36.4878556247459,세종특별자치시,1.0,월요일
삼화페인트/공주대리점,127.1223412124951,36.46086138735331,웅진동,1.0,월요일
상월보건지소,127.1410596937342,36.2958002832417,충청남도 논산시,1.0,월요일
새실교회,127.126923051575,36.6347652816731,정안면,2.0,월요일
샤브하우스,127.140256649115,36.4735615456728,신관동,3.0,월요일
서동한우/규암직영점,126.8610097333417,36.27955515946356,충청남도 부여군,1.0,월요일
서울안과의원,127.124647065629,36.4581187717521,중학동,1.0,월요일
서울현병원,127.258384175366,36.4897383412069,세종특별자치시,2.0,월요일
서일전선,127.050329044239,37.9353814251486,경기도 동두천시,1.0,월요일
설빙/세종보람점,127.28837949482622,36.476721786552346,세종특별자치시,1.0,월요일
세계유산연구원,127.13174942480356,36.47086239015821,신관동,3.0,월요일
세종대왕폰,127.289747723217,36.4785748583714,세종특별자치시,1.0,월요일
세종마루공원,127.290786368982,36.4817984771058,세종특별자치시,1.0,월요일
세종전통시장,127.29955607195916,36.60128077520827,세종특별자치시,5.0,월요일
소설스미스호텔/천안점,127.144468430967,36.827329414114,충청남도 천안시 서북구,1.0,월요일
소정면보건지소,127.15724012774788,36.72200522790877,세종특별자치시,1.0,월요일
소프트아이텍,127.33398043395906,36.37225876529617,대전광역시 유성구,1.0,월요일
솔밭식당,127.12133310289244,36.45417145117501,중학동,1.0,월요일
솔브레인에스엘디,127.0771,36.4312441,금학동,1.0,월요일
솟음,127.141546664529,36.3607173580698,계룡면,1.0,월요일
송강프라자,127.386469489919,36.4359499618328,대전광역시 유성구,1.0,월요일
송계계곡,128.088034731013,36.8653078110695,충청북도 제천시,1.0,월요일
수모텔,127.130368678829,36.4692841981498,신관동,6.0,월요일
숯불직화꼬치여행,127.141924192596,36.4727647916058,신관동,1.0,월요일
숲카페,127.237360142259,36.3597973019861,반포면,5.0,월요일
스시카페고노,127.17873799340704,36.44479306648351,옥룡동,1.0,월요일
스타벅스/대전용전DT점,127.435504882862,36.3571958629923,대전광역시 동구,1.0,월요일
신도시이진병원,127.107353814404,36.7896698335709,충청남도 아산시,1.0,월요일
신탄진시장,127.425966067984,36.4495816870581,대전광역시 대덕구,1.0,월요일
신풍휴게소/상주방향 [당진상주선],126.996241262346,36.5231661606963,신풍면,1.0,월요일
신호등장작구이/대전점,127.35175777503268,36.347777809006125,대전광역시 서구,1.0,월요일
싸리골,127.22860863058776,36.40153085549042,반포면,4.0,월요일
쎄쎄/[중식],126.9546058435742,36.55080165379104,유구읍,1.0,월요일
아산만방조제,126.909921124349,36.9015293918517,충청남도 아산시,2.0,월요일
아산시보건소,127.014429076065,36.7828076535722,충청남도 아산시,1.0,월요일
아트센터고마,127.107842931466,36.4665066061521,웅진동,9.0,월요일
알라딘중고서점/대전시청역점,127.387949910779,36.3514804671274,대전광역시 서구,1.0,월요일
앙상블모텔,127.12892435429738,36.470256301064055,신관동,1.0,월요일
애양원순교유적지,127.62986631726672,34.84007177276442,전라남도 여수시,1.0,월요일
어물전밥상,127.107565279236,36.4551745638507,웅진동,1.0,월요일
에버랜드,127.20219830178264,37.293101115700345,경기도 용인시 처인구,1.0,월요일
엑스포시민광장,127.3880857164962,36.368065219673205,대전광역시 서구,3.0,월요일
엔학고레,127.26591281595,36.398098663302,반포면,59.0,월요일
엘파니,126.6706037350011,37.18362269043109,경기도 화성시,1.0,월요일
여수소머리국밥,127.203680029496,36.4962893410483,세종특별자치시,1.0,월요일
역전우동0410/세종보람점,127.28911275389784,36.47796361084793,세종특별자치시,1.0,월요일
예산서울안과의원,126.845730686908,36.6794615062486,충청남도 예산군,1.0,월요일
오마트,127.142840785012,36.3575192329271,계룡면,1.0,월요일
오봉집/관저점,127.337147582682,36.2973403004227,대전광역시 서구,1.0,월요일
오엔시티호텔,127.111324140591,36.8111667224243,충청남도 천안시 서북구,1.0,월요일
온기,127.13827375743296,36.4766054919757,신관동,3.0,월요일
온양온천랜드,127.015768587978,36.7811926845319,충청남도 아산시,1.0,월요일
옹달샘농원,127.133423925628,36.473394858153,신관동,3.0,월요일
왕조걸한방병원,127.40031660406416,36.319406455353885,대전광역시 중구,2.0,월요일
왕천파닭,127.13450719627482,36.46961751758762,신관동,4.0,월요일
왕촌어버이의집,127.170921036839,36.4232341302956,옥룡동,1.0,월요일
우리마트/내포점,126.675513776418,36.6482682802991,충청남도 홍성군,1.0,월요일
우성워터테크,127.37624851841122,36.41036972378189,대전광역시 유성구,1.0,월요일
우성초음파,126.8997445134287,37.14615681316138,경기도 화성시,1.0,월요일
우시장국밥,127.134118342255,36.4695897407109,신관동,7.0,월요일
우정인재개발원,127.18936745203658,36.81350285658913,충청남도 천안시 동남구,1.0,월요일
우체국식당,127.123725447085,36.4543832942205,중학동,1.0,월요일
원마트,127.10770914992251,36.45579124326055,웅진동,7.0,월요일
윙스그로우,127.352908461218,36.3114578070782,대전광역시 서구,2.0,월요일
유구다함께돌봄센터,126.948009323785,36.5434218759218,유구읍,1.0,월요일
유구터미널공영주차장,126.953578158951,36.550635000281,유구읍,1.0,월요일
유나인버거조인트,126.9516201186625,36.55259135645976,유구읍,4.0,월요일
유성닭발/세종점,127.25775590839204,36.490092953640186,세종특별자치시,1.0,월요일
유성태평양약국,127.336517852109,36.3549310754382,대전광역시 유성구,1.0,월요일
유성해물칼국수,127.350200241191,36.3581882568621,대전광역시 유성구,1.0,월요일
